HandPose,D1-2,D2-3,D3-4,D4-5,Up1,Up2,Up3,Up4,Up5
Fist,45.76225557248043,23.85481189435784,24.297554121730013,55.55579813387646,false,true,true,true,true
Fist,44.46879110797664,22.62667776781845,22.16422492848168,63.591224312635255,false,true,true,true,true
Fist,43.47007681161501,22.78416343949364,22.716996882978375,63.399963062382646,false,true,true,true,true
Fist,45.11489950533816,28.191232136418797,21.173682998239162,31.251646712831764,false,true,true,true,true
Fist,42.33983877091302,28.06559473573938,22.52952355747362,21.3925523984357,false,true,true,true,true
Fist,41.272702288083515,25.788289904953487,21.67400146105615,57.55203019536664,false,true,true,true,true
Fist,49.07486163682164,29.58325180134361,21.846654810911676,33.364735616871684,false,true,true,true,true
Fist,49.83640489534233,29.321135827521715,21.395529407141954,32.76314924051563,false,true,true,true,true
Fist,50.18043205481528,28.684378029427368,21.64427651985393,33.53602669769733,false,true,true,true,true
Fist,50.53601889156162,28.84688725993383,21.23476990008239,35.383501252819144,false,true,true,true,true
Fist,47.955386963269035,28.641205436023977,21.32960493732338,35.27221720820398,false,true,true,true,true
Fist,49.4013307789366,28.66108166517485,21.58690705428009,32.61277801268186,false,true,true,true,true
Fist,47.60890969728554,29.568396603193754,22.15522751890021,31.861230009627022,false,true,true,true,true
Fist,52.81871634778553,29.49146678234157,21.87417717007782,32.4543316003615,false,true,true,true,true
Fist,50.71008041976441,29.635810026670384,22.173644681103372,31.81126069630538,false,true,true,true,true
Fist,48.43441557695719,29.50979234813349,21.360346156893627,32.562843503969944,false,true,true,true,true
Fist,50.64216159955007,28.88138241636443,21.240054374081275,32.96129487443761,false,true,true,true,true
Fist,51.20129221200759,29.291578524568052,20.874691347198674,30.947792690163492,false,true,true,true,true
Fist,50.38039295633686,29.522714520329618,20.541085896899666,32.206250548186375,false,true,true,true,true
Fist,49.26715491773727,30.39435104845738,21.07666864523333,31.179947836475566,false,true,true,true,true
Fist,48.059332207257974,30.13470887305019,21.047134796628598,31.97460854269016,false,true,true,true,true
Fist,49.09164991223795,30.044112023804914,21.118689790019058,31.358112042136856,false,true,true,true,true
Fist,51.54903043127474,29.613444869744004,21.39830257369218,31.714340686992728,false,true,true,true,true
Fist,51.41044205633578,28.75989429464203,21.276302580813166,33.41143562992097,false,true,true,true,true
Fist,49.11692692999266,29.86582992463231,21.10860729112413,32.00404595654207,false,true,true,true,true
Fist,49.89213180183389,29.6066499881809,21.201528769893304,31.502707989004982,false,true,true,true,true
Fist,50.00198187162008,29.27610653374066,21.75356422164933,33.27020100567745,false,true,true,true,true
Fist,48.72412623645375,29.663206893353,21.506977810561697,31.830642962157675,false,true,true,true,true
Fist,47.969980909239176,29.681543783597466,21.383474567737178,34.501544285256884,false,true,true,true,true
Fist,50.887285984848674,29.0628695082505,21.634079954060468,32.36310944354857,false,true,true,true,true
Fist,51.71262386127413,30.138882498995706,21.093157282087024,30.635051332568512,false,true,true,true,true
Fist,48.874836722992754,29.575875418288195,21.503364641629105,31.98129603645906,false,true,true,true,true
Fist,53.71961521874312,29.08026441568281,21.4014607150807,32.07043955526952,false,true,true,true,true
Fist,52.43239963352152,28.533177834379856,21.25556935116568,33.51486230994664,false,true,true,true,true
