HandPose,D1-2,D2-3,D3-4,D4-5,Up1,Up2,Up3,Up4,Up5
ThumbsDown,65.64059573140617,22.17275488610275,22.395191341237194,24.074102946701057,false,false,false,true,false
ThumbsDown,75.65263905197648,21.068377362315037,15.596754355132372,23.216352986609554,false,false,true,true,false
ThumbsDown,76.1473087972089,20.63813181407858,14.937750876298391,25.683175599396545,false,false,true,true,false
ThumbsDown,77.99815159338618,21.013394782090668,14.724699879773635,25.419710079395756,false,false,true,true,false
ThumbsDown,63.45299216959004,48.5823718437555,24.285236931703917,28.286763724062883,false,false,true,true,false
ThumbsDown,70.75595938203193,40.09274057349485,19.330139956326867,34.92586040902154,false,false,true,true,false
ThumbsDown,79.64221698597929,22.064164700746783,17.633556837377157,18.434255629199512,false,false,true,true,false
ThumbsDown,81.29491771863619,22.203167547903014,17.232727617215957,17.8802213270653,false,false,true,true,false
ThumbsDown,70.23596101764444,37.58232858290624,21.292190807928353,31.301026201885477,false,false,false,true,false
ThumbsDown,81.70629013007687,21.980012648293442,17.26543355192259,18.01203440303626,false,true,true,true,false
ThumbsDown,71.56809800088307,68.8165034676155,21.166808640459514,36.62798274630784,false,false,true,true,false
ThumbsDown,80.80616824182408,20.95470189604448,16.71353518668546,22.999248542132328,false,false,true,true,false
ThumbsDown,80.69588948234394,21.037191562925226,16.328543050563393,22.353682736554536,false,false,true,true,false
ThumbsDown,81.28150046268962,20.994133306827962,16.88056916263281,20.63825341586208,false,false,true,true,false
ThumbsDown,81.90112883790867,20.48890571205158,16.228526735000358,23.972470172179392,false,false,true,true,false
ThumbsDown,82.72259641079529,20.642153758740992,15.88259267919795,24.63128819696965,false,false,true,true,false
ThumbsDown,78.76514744464653,21.134512916981052,16.318535956058295,23.506000502286856,false,false,true,true,false
ThumbsDown,79.19877402499583,21.468831228870567,16.873327396763944,24.826329000765725,false,false,true,true,false
ThumbsDown,78.63109277954561,21.2202884178451,17.52656737811038,23.84252319219765,false,false,true,true,false
ThumbsDown,78.58446963102813,21.093058822677712,16.677487853844063,23.002036981883546,false,false,true,true,false
ThumbsDown,78.4805391241953,20.894419581817022,16.11621537307748,26.900934886122215,false,false,true,true,false
ThumbsDown,79.15293666454014,20.401718374080584,16.73522669556185,21.350712780712048,false,false,true,true,false
ThumbsDown,78.59650056282882,21.316669900442825,17.497429134825396,21.444406082662532,false,false,true,true,false
ThumbsDown,79.16202796039919,21.368704552103257,16.79527065976951,22.16692859692089,false,false,true,true,false
ThumbsDown,78.2257412575896,21.556298497215177,17.181043452024323,20.27679326745101,false,false,true,true,false
ThumbsDown,79.46388618685734,20.97679865609641,17.386577506521768,20.52616941167015,false,false,true,true,false
ThumbsDown,78.50499693030093,20.81437409427571,16.93476776162942,19.675659081496985,false,false,true,true,false
ThumbsDown,78.74534054952248,21.4035281086894,18.696845615618674,19.009736595619376,false,false,true,true,false
ThumbsDown,80.10341850962396,21.525088661203732,16.5481069455252,22.49052488901924,false,false,true,true,false
ThumbsDown,80.62274695253501,21.790684255820903,17.416125571034843,21.94681773349421,false,false,true,true,false
ThumbsDown,79.44665331552127,21.389308838348363,16.016568618606,23.41936226538689,false,false,true,true,false
ThumbsDown,80.48723813502983,21.116698916118107,17.20520383024669,21.794486521166668,false,false,true,true,false
ThumbsDown,78.41314778184412,20.44610685904471,18.00924283424114,19.561049762835882,false,false,true,true,false
ThumbsDown,79.84008277872942,20.64713497522868,17.718667075587508,18.531831745568702,false,false,true,true,false
ThumbsDown,79.79102545948916,20.871744839034555,16.902074632712363,21.54152882172892,false,false,true,true,false
ThumbsDown,78.40218829184796,21.101766976177323,16.65902474363043,21.59307499487744,false,false,true,true,false
ThumbsDown,78.42072913873979,20.72658424981181,16.301537940867725,20.68207664921386,false,false,true,true,false
ThumbsDown,77.0702414249773,21.23871818594617,17.190780447853054,19.478653879922636,false,false,true,true,false
ThumbsDown,79.51440637984504,20.364026412005643,16.294625262055586,22.022996813191096,false,false,true,true,false
ThumbsDown,77.05825990041623,21.222479732859053,16.597061817734698,18.912013620990546,false,false,true,true,false
ThumbsDown,76.05719697416876,22.409505375949944,17.88817887336032,19.717312417789916,false,false,true,true,false
ThumbsDown,77.93696812964188,21.37299623404961,16.941736537244072,16.53491173907916,false,false,true,true,false
ThumbsDown,78.58008818935647,20.221561534184914,17.748256012531893,17.886294908229583,false,false,true,true,false
ThumbsDown,76.41244526922374,20.818333751368165,17.7772789255222,19.755339007759584,false,false,true,true,false
ThumbsDown,75.50684327624323,20.956681052906614,16.348555712122415,19.252825976959297,false,false,true,true,false
ThumbsDown,69.96043784514703,21.73048210427509,15.460500789962463,17.51855488857765,false,false,true,true,false
ThumbsDown,70.15493873176437,21.215854294932125,15.76850626818776,20.821962459142366,false,false,true,true,false
ThumbsDown,72.89522911176279,21.05402219005942,16.51819136495344,18.70921472560548,false,false,true,true,false
ThumbsDown,70.27834357420859,23.676918340463754,16.783447623073627,18.00102647952663,false,false,false,false,false
ThumbsDown,70.15864718204395,22.72079673944622,17.16552159125023,21.210651797951524,false,false,false,true,false
ThumbsDown,69.22101021837531,22.040493408676582,17.095840961409078,20.729896477612577,false,false,true,true,false
ThumbsDown,71.11312060579769,20.634235774450172,17.117131054179236,22.46540660207187,false,false,true,true,false
ThumbsDown,68.32487515353863,19.237302126821607,17.274197945402445,24.367196875827734,false,false,true,true,false
ThumbsDown,69.81681171732988,19.545279263550043,15.82419699328678,22.248692126511145,false,true,true,true,true
ThumbsDown,69.90953941339352,18.621711279394685,15.651506187334357,21.74772376257057,false,false,true,true,false
ThumbsDown,69.46288739890575,19.30991231308969,15.486461399575871,21.623203588847332,false,true,true,true,false
ThumbsDown,66.478446200152,19.262490203765307,13.927292510114617,20.10998630742352,false,false,true,true,false
ThumbsDown,75.91240201910615,19.39593856733854,14.532093372127813,17.591198397071835,false,false,true,true,false
ThumbsDown,70.63034436860785,20.131423583799897,14.668875891106191,16.60304738741054,false,false,true,true,false
ThumbsDown,73.95253827161808,18.64919545469624,14.456754493377277,17.075047028204384,false,false,true,true,false
ThumbsDown,70.57738736147881,19.786420623310466,15.175833216403378,16.56385563794356,false,false,true,true,false
ThumbsDown,69.20311943928864,19.907652677440385,13.839095912122549,20.36290192028825,false,false,true,true,false
ThumbsDown,69.80693590499062,21.995872144335944,15.448791490210047,27.748132473717696,false,false,true,true,false
ThumbsDown,70.67259930714143,22.157271792442526,18.025019736457125,23.291051386049244,false,false,true,true,false
ThumbsDown,76.60551053974677,22.259899295432017,18.61692986821738,23.838638064691263,false,false,true,true,false
ThumbsDown,75.98097484484602,23.28384315200161,18.09085805604803,21.904240924173624,false,false,true,true,false
ThumbsDown,76.38244781229474,22.71391738971151,20.270328501445665,18.884353784265564,false,false,false,true,false
ThumbsDown,77.27488095035756,22.34291232928512,18.682171446382828,22.393685302042403,false,false,false,true,false
ThumbsDown,77.25799054287592,22.663252908840228,17.566253781749637,24.105026233863143,false,false,false,false,false
ThumbsDown,74.64400264071966,22.89367877608509,18.76551710084372,25.37467026034411,false,false,false,true,false
ThumbsDown,74.97097911446515,22.322974182619657,16.951425652505616,28.39469885508547,false,false,true,true,false
ThumbsDown,73.02711758793907,22.40926572583629,17.03931170009374,26.24336281763433,false,false,true,true,false
