HandPose,D1-2,D2-3,D3-4,D4-5,Up1,Up2,Up3,Up4,Up5
ThumbsUp,80.78833808249446,27.319536307252765,24.57909292001054,24.996159264974757,true,false,false,false,false
ThumbsUp,98.94127038721659,29.507950899092243,25.170375032079033,20.40625307910414,true,false,false,false,false
ThumbsUp,100.3916084742125,30.270211011023353,25.10536242234779,19.974951620277483,true,false,false,false,false
ThumbsUp,88.65738630699195,28.527417360808,25.94029028963196,21.329559852942133,true,false,false,false,false
ThumbsUp,104.00510488624055,28.598922636214656,23.277124117115008,20.163836915709773,true,false,false,false,false
ThumbsUp,87.48276211562222,27.923882449528733,26.181536563955195,23.093376257713842,true,false,false,false,false
ThumbsUp,104.54729042499979,28.66829163723763,23.789427416227085,20.38359868194669,true,true,false,false,false
ThumbsUp,103.9875944192117,28.108314032353007,23.096957588279054,20.39674995327068,true,true,false,false,false
ThumbsUp,103.88188540107735,29.07344636512858,23.434037620846325,20.333664620768342,true,true,false,false,false
ThumbsUp,103.9356629882154,29.111577481133846,23.399478364226916,19.908746534398592,true,true,false,false,false
ThumbsUp,103.96442998636364,28.252011873946252,23.260406409958676,20.282941804560117,true,true,false,false,false
ThumbsUp,103.2861009860135,28.53616420184988,23.563387652458253,19.983018806653927,true,true,false,false,false
ThumbsUp,104.23710073608292,28.53034501486809,23.756331569069765,20.120903324204487,true,true,false,false,false
ThumbsUp,104.81339805070661,28.020490131241562,23.42853252290351,20.403415398865555,true,true,false,false,false
ThumbsUp,102.69706558725942,28.368657964308866,23.273242293251112,20.03559829814657,true,false,false,false,false
ThumbsUp,103.12036365146743,27.69809036844057,23.143740562314875,20.094396814105725,true,false,false,false,false
ThumbsUp,102.19788101971062,28.78967657271077,22.748146316767905,20.389174107167648,true,false,false,false,false
ThumbsUp,104.88170236765919,29.646260498562757,23.59600707083026,20.120335752915683,true,true,false,false,false
ThumbsUp,103.90606761218602,30.83804061464268,24.02325814436956,20.16362935728579,true,true,false,false,false
ThumbsUp,103.93931127684021,29.921850957571262,23.660119142420495,20.453204191386476,true,true,false,false,false
ThumbsUp,102.25307582029674,30.151776112826255,23.966448188739484,19.958822778521938,true,true,false,false,false
ThumbsUp,102.11238702917512,29.81629208076832,23.5757395906817,20.680615958660407,true,false,false,false,false
