HandPose,D1-2,D2-3,D3-4,D4-5,Up1,Up2,Up3,Up4,Up5
Victory,105.88224641069728,43.494914973928175,96.54479597060768,23.29563721861429,true,true,true,false,false
Victory,106.10309173945336,44.02489219265571,108.85115582181882,25.140158473378424,true,true,true,false,false
Victory,104.1508639519654,48.463085584406144,108.25490237614528,23.713470956069425,true,true,true,false,false
Victory,104.76781779314658,46.7507061648574,105.33462039163855,21.677379530300257,true,true,true,false,false
Victory,103.94139247702255,52.61770362645527,106.4639876041311,25.496909825059973,true,true,true,false,false
Victory,114.45845529487266,46.71518122284966,111.52225544839261,25.516587045327558,true,true,true,false,false
Victory,112.3681468554243,45.83084355721269,110.95892839590958,29.548074326766564,true,true,true,false,false
Victory,99.66213533912205,53.296955030524174,108.51110046075588,34.95724329859848,true,true,true,false,false
Victory,109.32921532162736,47.61513998675824,104.4153012563608,32.54793122878729,true,true,true,false,false
Victory,107.93263492793639,46.76659640238404,105.38948371536425,30.791333053459496,true,true,true,false,false
Victory,103.31872670944944,47.47209692939213,104.2320566935587,27.447597872244636,true,true,true,false,false
Victory,100.3599110053533,45.91991357815515,94.72874526622668,28.874790386146252,true,true,true,false,false
Victory,103.22932142273169,46.804003064271456,83.7916296880911,29.672218558316228,true,true,true,false,false
Victory,106.46769721211652,44.51608706748663,84.59043761517901,27.850078963976163,true,true,true,false,false
Victory,100.70710044902216,45.66626213866848,104.30236422356174,31.114350185487584,true,true,true,false,false
Victory,101.02822926337208,45.56802203862562,108.88488082951237,31.468772869933158,true,true,true,false,false
Victory,101.74895253066347,45.188825063363566,108.65410462434477,30.95159126028577,true,true,true,false,false
Victory,103.85869695016572,46.05983323041281,97.45313415240578,29.678967065194374,true,true,true,false,false
Victory,109.2222706464724,47.735264999987734,97.25111381561392,29.866645162790267,true,true,true,false,false
Victory,111.01281602126397,51.535534323154465,98.79546123989435,25.38164134692446,true,true,true,false,false
Victory,108.78709508750744,58.55739822918965,99.62663627617437,21.510737563355875,true,true,true,false,false
Victory,110.83899360968846,59.730607756047995,97.25543861379,22.210637693191924,true,true,true,false,false
Victory,108.98063404684773,60.39832656354058,96.8640424827921,22.137700410503626,true,true,true,false,false
Victory,113.5941343839062,59.79246584748841,98.64799495767477,22.46944231683098,true,true,true,false,false
Victory,111.21496398372655,52.906291748540816,101.11143027158914,25.58922491579562,true,true,true,false,false
Victory,102.39389919922237,46.282770908201186,97.16054030137789,26.29201071473636,true,true,true,false,false
Victory,104.76878813313735,44.33699142030862,102.61202317076506,25.102580302807322,true,true,true,false,false
Victory,107.67890843566823,46.65372590697302,107.66841998486353,25.876274815066232,true,true,true,false,false
Victory,104.40782906060993,46.806178980755234,116.19044787547173,31.967309319179346,true,true,true,false,false
Victory,103.28115404846562,44.308616711540765,109.41511954015,28.242982236193647,true,true,true,false,false
Victory,103.0094494040938,41.042836504658425,103.12331854317102,26.759244929121103,true,true,true,false,false
Victory,103.95789364442422,49.010590764003595,114.66803544739945,32.18973740212417,true,true,true,false,false
Victory,108.04644501469188,47.50809320484747,96.0708655253163,23.940274723763153,true,true,true,false,false
Victory,112.78646067496172,55.11064163801235,108.80205505719586,20.997555454030714,true,true,true,false,false
Victory,112.9599650447437,61.27637614568054,99.87443982213766,26.17128293801216,true,true,true,false,false
